Person,Meal,Date
person6,Had a bagel with cream cheese for breakfast.,2025-01-18
person6,Had a ham and cheese croissant for breakfast.,2025-01-08
person6,Drank a ginger tea in the evening.,2025-02-02
person6,Drank a glass of sparkling water before dinner.,2025-02-01
person6,Had a grilled chicken breast with quinoa for lunch.,2025-01-28
person6,Had a club sandwich for lunch.,2025-01-13
person6,Drank iced tea at lunch.,2025-01-12
person6,Ate a banana and peanut butter smoothie for breakfast.,2025-02-03
person6,Ate a chicken salad with mixed greens for lunch.,2025-01-08
person6,Drank a matcha latte in the morning.,2025-01-12
person6,Drank a smoothie with spinach and banana in the morning.,2025-01-18
person6,Drank a protein shake after my workout.,2025-01-15
person6,Had grilled shrimp with rice for dinner.,2025-01-07
person6,Had a slice of pizza for dinner.,2025-01-17
person6,Had a slice of chocolate cake for dessert.,2025-01-05
person6,Had a cheeseburger with coleslaw for lunch.,2025-02-03
person6,Had a bowl of chili with cornbread for lunch.,2025-01-10
person6,Ate a grilled cheese with tomato soup for lunch.,2025-01-10
person6,Had a veggie burger with sweet potato fries for lunch.,2025-01-09
person6,Drank a mojito during dinner.,2025-01-30
person6,Had fish tacos for dinner.,2025-01-17
person6,Had roasted chicken with mashed potatoes for lunch.,2025-01-13
person6,Ate a poached egg on avocado toast for breakfast.,2025-01-21
